title,album_name,release_year,sad_ratio,word_count,gloom_index
"Barely Legal
              Lyrics",Is This It,2001,0.07792207792207792,154,31.634520270020325
"Trying Your Luck
              Lyrics",Is This It,2001,0.09302325581395349,86,29.64401265097826
"Is This It
              Lyrics",Is This It,2001,0.034482758620689655,58,20.574782686961647
"New York City Cops
              Lyrics",Is This It,2001,0.03488372093023256,172,19.26085374905154
"When It Started
              Lyrics",Is This It,2001,0.03614457831325301,83,17.87749787456872
"Take It or Leave It
              Lyrics",Is This It,2001,0.034482758620689655,116,17.06593076539625
"Hard to Explain
              Lyrics",Is This It,2001,0.02586206896551724,116,16.571866999811355
"The Modern Age
              Lyrics",Is This It,2001,0.03296703296703297,91,15.43647427608677
"Last Nite
              Lyrics",Is This It,2001,0.04040404040404041,99,13.059841755496777
"Someday
              Lyrics",Is This It,2001,0.009259259259259259,108,11.031695051785661
"Soma
              Lyrics",Is This It,2001,0.015151515151515152,66,9.914203104692188
"Alone, Together
              Lyrics",Is This It,2001,0.01098901098901099,91,6.483795683721935
"Between Love & Hate
              Lyrics",Room on Fire,2003,0.3047619047619048,105,99.99999999999999
"The End Has No End
              Lyrics",Room on Fire,2003,0.23529411764705882,102,64.80530789857168
"The Way It Is
              Lyrics",Room on Fire,2003,0.20454545454545456,44,48.4819375977987
"I Can't Win
              Lyrics",Room on Fire,2003,0.06329113924050633,79,28.224496001459716
"Reptilia
              Lyrics",Room on Fire,2003,0.075,80,25.89709387496501
"Meet Me In The Bathroom (Early Version)
              Lyrics",Room on Fire,2003,0.056818181818181816,88,25.39934305686497
"Automatic Stop
              Lyrics",Room on Fire,2003,0.06060606060606061,66,22.024999761757915
"Meet Me in the Bathroom
              Lyrics",Room on Fire,2003,0.045454545454545456,88,21.456459249396534
"What Ever Happened?
              Lyrics",Room on Fire,2003,0.06741573033707865,89,21.19598965809715
"12:51
              Lyrics",Room on Fire,2003,0.031746031746031744,63,13.473778619115997
"You Talk Way Too Much
              Lyrics",Room on Fire,2003,0.047058823529411764,85,13.442070520998094
"Under Control
              Lyrics",Room on Fire,2003,0.0,81,1.0
"Ask Me Anything
              Lyrics",First Impressions of Earth,2006,0.21153846153846154,104,77.09911877031521
"Fear of Sleep
              Lyrics",First Impressions of Earth,2006,0.13636363636363635,110,71.72215879771596
"Juicebox
              Lyrics",First Impressions of Earth,2006,0.26373626373626374,91,63.80264626087287
"On the Other Side
              Lyrics",First Impressions of Earth,2006,0.2033898305084746,59,55.97638099097152
"Killing Lies
              Lyrics",First Impressions of Earth,2006,0.09090909090909091,55,54.65270727192591
"Red Light
              Lyrics",First Impressions of Earth,2006,0.08641975308641975,162,37.52249091210304
"Evening Sun
              Lyrics",First Impressions of Earth,2006,0.09302325581395349,86,32.592418209855644
"Ize of the World
              Lyrics",First Impressions of Earth,2006,0.064,125,31.356613520790305
"Heart in a Cage
              Lyrics",First Impressions of Earth,2006,0.07446808510638298,94,25.78919865824451
"Razorblade
              Lyrics",First Impressions of Earth,2006,0.05154639175257732,97,24.953596740041636
"You Only Live Once
              Lyrics",First Impressions of Earth,2006,0.042105263157894736,95,20.148933117257016
"15 Minutes
              Lyrics",First Impressions of Earth,2006,0.03571428571428571,112,17.61416953599614
"Electricityscape
              Lyrics",First Impressions of Earth,2006,0.03076923076923077,65,10.940604386891202
"Vision of Division
              Lyrics",First Impressions of Earth,2006,0.0,83,1.002399588578767
"Games
              Lyrics",Angles,2011,0.21818181818181817,55,62.79065530077117
"Gratisfaction
              Lyrics",Angles,2011,0.12295081967213115,122,48.588915251207915
"Machu Picchu
              Lyrics",Angles,2011,0.10596026490066225,151,44.89494911609003
"Metabolism
              Lyrics",Angles,2011,0.09090909090909091,44,37.90867770819367
"You're So Right
              Lyrics",Angles,2011,0.07777777777777778,90,29.863192569881527
"Taken for a Fool
              Lyrics",Angles,2011,0.04580152671755725,131,27.95940991733838
"Life Is Simple in the Moonlight
              Lyrics",Angles,2011,0.04580152671755725,131,25.60500556887768
"Under Cover of Darkness
              Lyrics",Angles,2011,0.05263157894736842,76,21.421268804841283
"Two Kinds of Happiness
              Lyrics",Angles,2011,0.046153846153846156,65,19.88752092414689
"Call Me Back
              Lyrics",Angles,2011,0.012048192771084338,83,15.48541360623734
"Slow Animals
              Lyrics",Comedown Machine,2013,0.22033898305084745,118,77.20875838259091
"Fast Animals
              Lyrics",Comedown Machine,2013,0.19801980198019803,101,61.96284285909858
"Chances
              Lyrics",Comedown Machine,2013,0.1794871794871795,78,52.977010292920035
"All the Time
              Lyrics",Comedown Machine,2013,0.11458333333333333,96,37.428162685336645
"Welcome to Japan
              Lyrics",Comedown Machine,2013,0.06976744186046512,129,26.543959971552553
"Partners in Crime
              Lyrics",Comedown Machine,2013,0.06315789473684211,95,23.086311870189775
"50/50
              Lyrics",Comedown Machine,2013,0.05405405405405406,74,20.930800651926802
"One Way Trigger
              Lyrics",Comedown Machine,2013,0.05555555555555555,108,18.192800480157917
"Happy Ending
              Lyrics",Comedown Machine,2013,0.03125,96,12.124476061378683
"Tap Out
              Lyrics",Comedown Machine,2013,0.009523809523809525,105,8.067548053006792
"Call It Fate, Call It Karma
              Lyrics",Comedown Machine,2013,0.0,56,5.242943955017073
"80's Comedown Machine
              Lyrics",Comedown Machine,2013,0.019230769230769232,52,5.198547281850725
"Bad Decisions
              Lyrics",The New Abnormal,2020,0.15267175572519084,131,66.29031655074935
"At the Door
              Lyrics",The New Abnormal,2020,0.14782608695652175,115,48.61696672885962
"Not the Same Anymore
              Lyrics",The New Abnormal,2020,0.08823529411764706,102,37.19275563214346
"Ode to the Mets
              Lyrics",The New Abnormal,2020,0.07575757575757576,132,31.95894278791838
"Selfless
              Lyrics",The New Abnormal,2020,0.07575757575757576,66,25.48637097361537
"The Adults Are Talking
              Lyrics",The New Abnormal,2020,0.043478260869565216,138,24.87543381880698
"Why Are Sundays So Depressing?
              Lyrics",The New Abnormal,2020,0.05517241379310345,145,24.291691731593673
